,sentence_num,word,n_fix,first_fix_dur,first_pass_dur,total_fix_dur,mean_fix_dur,fix_prob,n_refix,reread_prob
0,0,Trägt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,man,1.0,296.0,296.0,296.0,296.0,1.0,0.0,0.0
2,0,die,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,bisher,1.0,278.0,278.0,278.0,278.0,1.0,0.0,0.0
4,0,bekannten,1.0,295.0,295.0,295.0,295.0,1.0,0.0,0.0
5,0,Hadronen,2.0,376.0,610.0,610.0,305.0,1.0,1.0,1.0
6,0,in,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0,einem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,Diagramm,3.0,211.0,874.0,874.0,291.33333333333326,1.0,2.0,1.0
9,0,ein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,dem,1.0,259.0,259.0,259.0,259.0,1.0,0.0,0.0
12,0,ihre,1.0,393.0,393.0,393.0,393.0,1.0,0.0,0.0
13,0,Masse,1.0,230.0,230.0,230.0,230.0,1.0,0.0,0.0
14,0,als,1.0,337.0,337.0,337.0,337.0,1.0,0.0,0.0
15,0,Ordinate,2.0,420.0,420.0,754.0,377.0,1.0,1.0,1.0
16,0,und,1.0,0.0,0.0,199.0,199.0,1.0,0.0,0.0
17,0,ihr,1.0,388.0,388.0,388.0,388.0,1.0,0.0,0.0
18,0,Spin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,als,2.0,329.0,329.0,542.0,271.0,1.0,1.0,1.0
20,0,Abszisse,2.0,549.0,549.0,819.0,409.5,1.0,1.0,1.0
21,0,gewählt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,wird,1.0,310.0,310.0,310.0,310.0,1.0,0.0,0.0
23,0,so,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,fällt,1.0,447.0,447.0,447.0,447.0,1.0,0.0,0.0
25,0,auf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,dass,2.0,143.0,143.0,143.0,71.5,1.0,1.0,1.0
27,0,es,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,bestimmte,1.0,0.0,0.0,323.0,323.0,1.0,0.0,0.0
29,0,Gruppen,1.0,140.0,140.0,140.0,140.0,1.0,0.0,0.0
30,0,gibt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,in,1.0,258.0,258.0,258.0,258.0,1.0,0.0,0.0
32,0,denen,1.0,251.0,251.0,251.0,251.0,1.0,0.0,0.0
33,0,die,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,Teilchen,1.0,208.0,208.0,208.0,208.0,1.0,0.0,0.0
35,0,in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,diesem,1.0,275.0,275.0,275.0,275.0,1.0,0.0,0.0
37,0,Diagramm,1.0,208.0,208.0,208.0,208.0,1.0,0.0,0.0
38,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,benachbart,3.0,276.0,276.0,799.0,266.3333333333332,1.0,2.0,1.0
40,0,sind,1.0,209.0,209.0,209.0,209.0,1.0,0.0,0.0
41,0,d.h.,1.0,0.0,0.0,218.0,218.0,1.0,0.0,0.0
42,0,gleichen,3.0,100.0,100.0,835.0,278.3333333333332,1.0,2.0,1.0
43,0,Spin,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,0,gleiche,1.0,0.0,0.0,287.0,287.0,1.0,0.0,0.0
45,0,Parität,1.0,174.0,174.0,174.0,174.0,1.0,0.0,0.0
