The                                 7  1 1   1   1   0   3   3   0   0   0     1    3511   
case                                7  1 1   2   2   4   4   4   0   0   0     2      26   
of                                  7  1 1   3   3   9   2   2   0   0   0     3    1757   
Ms                                  7  1 1   4   4  12   2   2   0   0   0     4       9   
Susan                               7  1 1   5   5  15   5   5   0   0   0     5       3   
Wallace,                            7  1 1   6   6  21   8   7   2   0   1     6       4   
who                                 7  1 1   7   7  30   3   3   0   0   0     7     157   
went                                7  1 1   8   8  34   4   4   0   0   0     8      13   
down                                7  1 1   9   9  39   4   4   0   0   0     9      38   
to                                  7  1 1  10  10  44   2   2   0   0   0    10    1597   
her                                 7  1 1  11  11  47   3   3   0   0   0    11     107   
local                               7  1 1  12  12  51   5   5   0   0   0    12      15   
with                                7  1 1  13  13  57   4   4   0   0   0    13     393   
Igwig                               7  1 1  14  14  62   5   5   0   0   0    14       1   
the                                 7  1 1  15  15  68   3   3   0   0   0    15    3511   
iguana,                             7  1 1  16  16  72   7   6   2   0   1    16       4   
has                                 7  1 2   1  17   0   3   3   0   0   0    17     239   
lessons                             7  1 2   2  18   4   7   7   0   0   0    18       7   
for                                 7  1 2   3  19  12   3   3   0   0   0    19     519   
us                                  7  1 2   4  20  16   2   2   0   0   0    20      86   
all                                 7  1 2   5  21  19   3   3   0   0   0    21     167   
that                                7  1 2   6  22  23   4   4   0   0   0    22     871   
go                                  7  1 2   7  23  28   2   2   0   0   0    23      40   
well                                7  1 2   8  24  31   4   4   0   0   0    24      48   
beyond                              7  1 2   9  25  36   6   6   0   0   0    25      11   
the                                 7  1 2  10  26  43   3   3   0   0   0    26    3511   
blindingly                          7  1 2  11  27  47  10  10   0   0   0    27       1   
obvious                             7  1 2  12  28  58   7   7   0   0   0    28      12   
'do                                 7  1 2  13  29  66   3   2   9   1   0    29      75   
not                                 7  1 2  14  30  70   3   3   0   0   0    30     277   
take                                7  1 2  15  31  74   4   4   0   0   0    31      42   
your                                7  1 3   1  32   0   4   4   0   0   0    32      65   
