As                                  9  1 1   1   1   0   2   2   0   0   0     1     422   
ever,                               9  1 1   2   2   3   5   4   2   0   1     2      38   
market                              9  1 1   3   3   9   6   6   0   0   0     3      19   
trends                              9  1 1   4   4  16   6   6   0   0   0     4       1   
are                                 9  1 1   5   5  23   3   3   0   0   0     5     351   
against                             9  1 1   6   6  27   7   7   0   0   0     6      36   
the                                 9  1 1   7   7  35   3   3   0   0   0     7    3511   
way                                 9  1 1   8   8  39   3   3   0   0   0     8      58   
of                                  9  1 1   9   9  43   2   2   0   0   0     9    1757   
life                                9  1 1  10  10  46   4   4   0   0   0    10      56   
of                                  9  1 1  11  11  51   2   2   0   0   0    11    1757   
a                                   9  1 1  12  12  54   1   1   0   0   0    12    1434   
marginalised                        9  1 1  13  13  56  12  12   0   0   0    13       1   
community.                          9  1 1  14  14  69  10   9   1   0   1    14      10   
The                                 9  1 2   1  15   0   3   3   0   0   0    15    3511   
evidence                            9  1 2   2  16   4   8   8   0   0   0    16       8   
of                                  9  1 2   3  17  13   2   2   0   0   0    17    1757   
the                                 9  1 2   4  18  16   3   3   0   0   0    18    3511   
annual                              9  1 2   5  19  20   6   6   0   0   0    19       5   
Caravan                             9  1 2   6  20  27   7   7   0   0   0    20       3   
Show,                               9  1 2   7  21  35   5   4   2   0   1    21      15   
which                               9  1 2   8  22  41   5   5   0   0   0    22     152   
opened                              9  1 2   9  23  47   6   6   0   0   0    23       5   
in                                  9  1 2  10  24  54   2   2   0   0   0    24    1091   
Birmingham                          9  1 2  11  25  57  10  10   0   0   0    25       3   
yesterday,                          9  1 2  12  26  68  10   9   2   0   1    26      16   
is                                  9  1 3   1  27   0   2   2   0   0   0    27     717   
that                                9  1 3   2  28   3   4   4   0   0   0    28     871   
the                                 9  1 3   3  29   8   3   3   0   0   0    29    3511   
traditional                         9  1 3   4  30  12  11  11   0   0   0    30       8   
caravan,                            9  1 3   5  31  24   8   7   2   0   1    31       3   
the                                 9  1 3   6  32  33   3   3   0   0   0    32    3511   
wheeled                             9  1 3   7  33  37   7   7   0   0   0    33       2   
kitchenette                         9  1 3   8  34  45  11  11   0   0   0    34       1   
that                                9  1 3   9  35  57   4   4   0   0   0    35     871   
you                                 9  1 3  10  36  62   3   3   0   0   0    36     179   
attach                              9  1 3  11  37  66   6   6   0   0   0    37       1   
to                                  9  1 3  12  38  73   2   2   0   0   0    38    1597   
the                                 9  1 3  13  39  76   3   3   0   0   0    39    3511   
back                                9  1 4   1  40   0   4   4   0   0   0    40      38   
of                                  9  1 4   2  41   5   2   2   0   0   0    41    1757   
a                                   9  1 4   3  42   8   1   1   0   0   0    42    1434   
car,                                9  1 4   4  43  10   4   3   2   0   1    43       9   
is                                  9  1 4   5  44  15   2   2   0   0   0    44     717   
being                               9  1 4   6  45  18   5   5   0   0   0    45      54   
ousted                              9  1 4   7  46  24   6   6   0   0   0    46       1   
-                                   9  1 4   8  47  31   1   1  12   0   0    47     -99   
much                                9  1 4   9  48  33   4   4   0   0   0    48      97   
in                                  9  1 4  10  49  38   2   2   0   0   0    49    1091   
the                                 9  1 4  11  50  41   3   3   0   0   0    50    3511   
manner                              9  1 4  12  51  45   6   6   0   0   0    51       4   
of                                  9  1 4  13  52  52   2   2   0   0   0    52    1757   
red                                 9  1 4  14  53  55   3   3   0   0   0    53      12   
squirrels                           9  1 4  15  54  59   9   9   0   0   0    54       1   
