Lesley                             14  1 1   1   1   0   6   6   0   0   0     1       9   
Monk,                              14  1 1   2   2   7   5   4   2   0   1     2       2   
a                                  14  1 1   3   3  13   1   1   0   0   0     3    1434   
51-year-old                        14  1 1   4   4  15  11  11   0   0   0     4     -99   
from                               14  1 1   5   5  27   4   4   0   0   0     5     248   
Burnley,                           14  1 1   6   6  32   8   7   2   0   1     6       1   
explains                           14  1 1   7   7  41   8   8   0   0   0     7       7   
to                                 14  1 1   8   8  50   2   2   0   0   0     8    1597   
Mark                               14  1 1   9   9  53   4   4   0   0   0     9      10   
MacKenzie                          14  1 1  10  10  58   9   9   0   0   0    10       1   
why                                14  1 1  11  11  68   3   3   0   0   0    11      35   
she                                14  1 1  12  12  72   3   3   0   0   0    12      91   
and                                14  1 1  13  13  76   3   3   0   0   0    13    1283   
her                                14  1 2   1  14   0   3   3   0   0   0    14     107   
team                               14  1 2   2  15   4   4   4   0   0   0    15      12   
of                                 14  1 2   3  16   9   2   2   0   0   0    16    1757   
huskies                            14  1 2   4  17  12   7   7   0   0   0    17       2   
are                                14  1 2   5  18  20   3   3   0   0   0    18     351   
going                              14  1 2   6  19  24   5   5   0   0   0    19      39   
flat                               14  1 2   7  20  30   4   4   0   0   0    20       7   
out                                14  1 2   8  21  35   3   3   0   0   0    21     113   
to                                 14  1 2   9  22  39   2   2   0   0   0    22    1597   
conquer                            14  1 2  10  23  42   7   7   0   0   0    23       2   
the                                14  1 2  11  24  50   3   3   0   0   0    24    3511   
wastes                             14  1 2  12  25  54   6   6   0   0   0    25       1   
of                                 14  1 2  13  26  61   2   2   0   0   0    26    1757   
Alaska.                            14  1 2  14  27  64   7   6   1   0   1    27       3   
While                              14  1 3   1  28   0   5   5   0   0   0    28      43   
you                                14  1 3   2  29   6   3   3   0   0   0    29     179   
are                                14  1 3   3  30  10   3   3   0   0   0    30     351   
reading                            14  1 3   4  31  14   7   7   0   0   0    31       5   
this,                              14  1 3   5  32  22   5   4   2   0   1    32     293   
Lesley                             14  1 3   6  33  28   6   6   0   0   0    33       9   
Monk                               14  1 3   7  34  35   4   4   0   0   0    34       2   
is                                 14  1 3   8  35  40   2   2   0   0   0    35     717   
taking                             14  1 3   9  36  43   6   6   0   0   0    36      11   
her                                14  1 3  10  37  50   3   3   0   0   0    37     107   
dogs                               14  1 3  11  38  54   4   4   0   0   0    38      12   
for                                14  1 3  12  39  59   3   3   0   0   0    39     519   
a                                  14  1 3  13  40  63   1   1   0   0   0    40    1434   
walk.                              14  1 3  14  41  65   5   4   1   0   1    41       5   
Sixteen                            14  1 3  15  42  71   7   7   0   0   0    42       1   
of                                 14  1 4   1  43   0   2   2   0   0   0    43    1757   
them                               14  1 4   2  44   3   4   4   0   0   0    44      80   
in                                 14  1 4   3  45   8   2   2   0   0   0    45    1091   
fact,                              14  1 4   4  46  11   5   4   2   0   1    46      32   
and                                14  1 4   5  47  17   3   3   0   0   0    47    1283   
not                                14  1 4   6  48  21   3   3   0   0   0    48     277   
just                               14  1 4   7  49  25   4   4   0   0   0    49      75   
for                                14  1 4   8  50  30   3   3   0   0   0    50     519   
a                                  14  1 4   9  51  34   1   1   0   0   0    51    1434   
quick                              14  1 4  10  52  36   5   5   0   0   0    52       2   
once-round-the-park.               14  1 4  11  53  42  20  19   1   0   1    53     -99   
All                                14  1 4  12  54  63   3   3   0   0   0    54     167   
being                              14  1 4  13  55  67   5   5   0   0   0    55      54   
well,                              14  1 4  14  56  73   5   4   2   0   1    56      48   
the                                14  1 5   1  57   0   3   3   0   0   0    57    3511   
51-year-old                        14  1 5   2  58   4  11  11   0   0   0    58     -99   
personal                           14  1 5   3  59  16   8   8   0   0   0    59       4   
trainer                            14  1 5   4  60  25   7   7   0   0   0    60       2   
from                               14  1 5   5  61  33   4   4   0   0   0    61     248   
Lancashire                         14  1 5   6  62  38  10  10   0   0   0    62       2   
is                                 14  1 5   7  63  49   2   2   0   0   0    63     717   
now                                14  1 5   8  64  52   3   3   0   0   0    64     107   
one                                14  1 5   9  65  56   3   3   0   0   0    65     176   
day                                14  1 5  10  66  60   3   3   0   0   0    66      35   
into                               14  1 5  11  67  64   4   4   0   0   0    67      82   
an                                 14  1 5  12  68  69   2   2   0   0   0    68     195   
1,100-                             14  1 5  13  69  72   6   5  37   0   1    69     -99   
mile                               14  2 1   1   1   0   4   4   0   0   0    70       1   
trek                               14  2 1   2   2   5   4   4   0   0   0    71       1   
across                             14  2 1   3   3  10   6   6   0   0   0    72      28   
the                                14  2 1   4   4  17   3   3   0   0   0    73    3511   
frozen                             14  2 1   5   5  21   6   6   0   0   0    74       2   
Alaskan                            14  2 1   6   6  28   7   7   0   0   0    75       2   
wilderness,                        14  2 1   7   7  36  11  10   2   0   1    76       3   
the                                14  2 1   8   8  48   3   3   0   0   0    77    3511   
only                               14  2 1   9   9  52   4   4   0   0   0    78      97   
British                            14  2 1  10  10  57   7   7   0   0   0    79      77   
competitor                         14  2 1  11  11  65  10  10   0   0   0    80       1   
in                                 14  2 1  12  12  76   2   2   0   0   0    81    1091   
this                               14  2 2   1  13   0   4   4   0   0   0    82     293   
year's                             14  2 2   2  14   5   6   6   8   0   0    83     104   
Iditarod,                          14  2 2   3  15  12   9   8   2   0   1    84       4   
the                                14  2 2   4  16  22   3   3   0   0   0    85    3511   
most                               14  2 2   5  17  26   4   4   0   0   0    86      93   
demanding                          14  2 2   6  18  31   9   9   0   0   0    87       3   
dog-sled                           14  2 2   7  19  41   8   8   0   0   0    88     -99   
race                               14  2 2   8  20  50   4   4   0   0   0    89      12   
on                                 14  2 2   9  21  55   2   2   0   0   0    90     417   
earth.                             14  2 2  10  22  58   6   5   1   0   1    91       8   
While                              14  2 2  11  23  69   5   5   0   0   0    92      43   
the                                14  2 2  12  24  75   3   3   0   0   0    93    3511   
winner                             14  2 3   1  25   0   6   6   0   0   0    94       2   
of                                 14  2 3   2  26   7   2   2   0   0   0    95    1757   
an                                 14  2 3   3  27  10   2   2   0   0   0    96     195   
event                              14  2 3   4  28  13   5   5   0   0   0    97       6   
billed                             14  2 3   5  29  19   6   6   0   0   0    98       2   
as                                 14  2 3   6  30  26   2   2   0   0   0    99     422   
'The                               14  2 3   7  31  29   4   3   9   1   0   100    3511   
Last                               14  2 3   8  32  34   4   4   0   0   0   101      73   
Great                              14  2 3   9  33  39   5   5   0   0   0   102      31   
Race                               14  2 3  10  34  45   4   4   0   0   0   103      12   
in                                 14  2 3  11  35  50   2   2   0   0   0   104    1091   
the                                14  2 3  12  36  53   3   3   0   0   0   105    3511   
Last                               14  2 3  13  37  57   4   4   0   0   0   106      73   
Great                              14  2 3  14  38  62   5   5   0   0   0   107      31   
Place'                             14  2 3  15  39  68   6   5   9   0   1   108      22   
will                               14  2 3  16  40  75   4   4   0   0   0   109     210   
be                                 14  2 4   1  41   0   2   2   0   0   0   110     423   
sipping                            14  2 4   2  42   3   7   7   0   0   0   111       1   
victory                            14  2 4   3  43  11   7   7   0   0   0   112       4   
champagne                          14  2 4   4  44  19   9   9   0   0   0   113       1   
in                                 14  2 4   5  45  29   2   2   0   0   0   114    1091   
front                              14  2 4   6  46  32   5   5   0   0   0   115       3   
of                                 14  2 4   7  47  38   2   2   0   0   0   116    1757   
a                                  14  2 4   8  48  41   1   1   0   0   0   117    1434   
roaring                            14  2 4   9  49  43   7   7   0   0   0   118       1   
fire                               14  2 4  10  50  51   4   4   0   0   0   119       7   
inside                             14  2 4  11  51  56   6   6   0   0   0   120       7   
of                                 14  2 4  12  52  63   2   2   0   0   0   121    1757   
10                                 14  2 4  13  53  66   2   2   0   0   0   122     -99   
days,                              14  2 4  14  54  69   5   4   2   0   1   123      28   
Lesley                             14  2 5   1  55   0   6   6   0   0   0   124       9   
and                                14  2 5   2  56   7   3   3   0   0   0   125    1283   
the                                14  2 5   3  57  11   3   3   0   0   0   126    3511   
other                              14  2 5   4  58  15   5   5   0   0   0   127      78   
67                                 14  2 5   5  59  21   2   2   0   0   0   128     -99   
mushers                            14  2 5   6  60  24   7   7   0   0   0   129       5   
can                                14  2 5   7  61  32   3   3   0   0   0   130     123   
expect                             14  2 5   8  62  36   6   6   0   0   0   131       6   
several                            14  2 5   9  63  43   7   7   0   0   0   132      14   
weeks                              14  2 5  10  64  51   5   5   0   0   0   133      15   
on                                 14  2 5  11  65  57   2   2   0   0   0   134     417   
the                                14  2 5  12  66  60   3   3   0   0   0   135    3511   
trail,                             14  2 5  13  67  64   6   5   2   0   1   136       7   
which                              14  2 5  14  68  71   5   5   0   0   0   137     152   
will                               14  3 1   1   1   0   4   4   0   0   0   138     210   
push                               14  3 1   2   2   5   4   4   0   0   0   139       3   
them                               14  3 1   3   3  10   4   4   0   0   0   140      80   
to                                 14  3 1   4   4  15   2   2   0   0   0   141    1597   
the                                14  3 1   5   5  18   3   3   0   0   0   142    3511   
limits                             14  3 1   6   6  22   6   6   0   0   0   143       3   
of                                 14  3 1   7   7  29   2   2   0   0   0   144    1757   
their                              14  3 1   8   8  32   5   5   0   0   0   145     225   
endurance.                         14  3 1   9   9  38  10   9   1   0   1   146       1   
Polar                              14  3 1  10  10  49   5   5   0   0   0   147       1   
bears,                             14  3 1  11  11  55   6   5   2   0   1   148       3   
fragile                            14  3 1  12  12  62   7   7   0   0   0   149       3   
river-ice                          14  3 1  13  13  70   9   9   0   0   0   150     -99   
and                                14  3 2   1  14   0   3   3   0   0   0   151    1283   
temperatures                       14  3 2   2  15   4  12  12   0   0   0   152       1   
regularly                          14  3 2   3  16  17   9   9   0   0   0   153       5   
below                              14  3 2   4  17  27   5   5   0   0   0   154       5   
