Now                                16  1 1   1   1   0   3   3   0   0   0     1     107   
the                                16  1 1   2   2   4   3   3   0   0   0     2    3511   
BBC                                16  1 1   3   3   8   3   3   0   0   0     3      21   
has                                16  1 1   4   4  12   3   3   0   0   0     4     239   
embraced                           16  1 1   5   5  16   8   8   0   0   0     5       2   
'narrowcasting'                    16  1 1   6   6  25  15  14  37   0   1     6       2   
with                               16  1 1   7   7  41   4   4   0   0   0     7     393   
its                                16  1 1   8   8  46   3   3   0   0   0     8     152   
new                                16  1 1   9   9  50   3   3   0   0   0     9      93   
channels,                          16  1 1  10  10  54   9   8   2   0   1    10       3   
Boyd                               16  1 1  11  11  64   4   4   0   0   0    11       1   
Tonkin                             16  1 1  12  12  69   6   6   0   0   0    12       1   
asks                               16  1 1  13  13  76   4   4   0   0   0    13       2   
if                                 16  1 2   1  14   0   2   2   0   0   0    14     150   
TV                                 16  1 2   2  15   3   2   2   0   0   0    15      11   
will                               16  1 2   3  16   6   4   4   0   0   0    16     210   
ever                               16  1 2   4  17  11   4   4   0   0   0    17      38   
again                              16  1 2   5  18  16   5   5   0   0   0    18      28   
surprise                           16  1 2   6  19  22   8   8   0   0   0    19       2   
us                                 16  1 2   7  20  31   2   2   0   0   0    20      86   
with                               16  1 2   8  21  34   4   4   0   0   0    21     393   
the                                16  1 2   9  22  39   3   3   0   0   0    22    3511   
unexpected.                        16  1 2  10  23  43  11  10   1   0   1    23       4   
On                                 16  1 2  11  24  59   2   2   0   0   0    24     417   
Saturday,                          16  1 2  12  25  62   9   8   2   0   1    25       2   
the                                16  1 2  13  26  72   3   3   0   0   0    26    3511   
BBC's                              16  1 3   1  27   0   5   5   8   0   0    27     -99   
new                                16  1 3   2  28   6   3   3   0   0   0    28      93   
cultural                           16  1 3   3  29  10   8   8   0   0   0    29       7   
channel                            16  1 3   4  30  19   7   7   0   0   0    30       4   
finally                            16  1 3   5  31  27   7   7   0   0   0    31       9   
shed                               16  1 3   6  32  35   4   4   0   0   0    32       1   
the                                16  1 3   7  33  40   3   3   0   0   0    33    3511   
dowdy                              16  1 3   8  34  44   5   5   0   0   0    34       1   
chrysalis                          16  1 3   9  35  50   9   9   0   0   0    35       1   
of                                 16  1 3  10  36  60   2   2   0   0   0    36    1757   
Knowledge                          16  1 3  11  37  63   9   9   0   0   0    37       2   
to                                 16  1 3  12  38  73   2   2   0   0   0    38    1597   
emerge                             16  1 4   1  39   0   6   6   0   0   0    39       4   
as                                 16  1 4   2  40   7   2   2   0   0   0    40     422   
a                                  16  1 4   3  41  10   1   1   0   0   0    41    1434   
gaudy                              16  1 4   4  42  12   5   5   0   0   0    42       1   
butterfly                          16  1 4   5  43  18   9   9   0   0   0    43       2   
known                              16  1 4   6  44  28   5   5   0   0   0    44      16   
as                                 16  1 4   7  45  34   2   2   0   0   0    45     422   
'Four'.                            16  1 4   8  46  37   7   4  50   1   2    46      27   
Not                                16  1 4   9  47  45   3   3   0   0   0    47     277   
